"","target.priority","altitude..hundreds.of.feet."
"109991","2",139
"109992","1",49
"109993","1",1
"109994","1",58
"109995","1",42
"109996","1",128
"109997","1",85
"109998","1",87
"109999","1",71
"110000","1",150
"110001","1",69
"110002","1",1
"110003","1",20
"110004","1",25
"110005","1",1
"110006","1",95
"110007","2",95
"110009","2",86
"110010","1",83
"110011","1",139
"110012","1",1
"110014","1",60
"110015","1",1
"110016","1",55
"110017","1",25
"110018","2",90
"110019","1",200
"110020","1",139
"110021","1",139
"110023","1",90
"110024","2",200
"110025","1",1
"110026","1",1
"110027","1",1
"110028","1",139
"110029","1",139
"110030","1",20
"110031","1",139
"110032","1",210
"110033","1",202
"110034","1",200
"110035","1",240
"110036","1",221
"110037","1",180
"110038","1",180
"110039","1",170
"110040","1",260
"110041","1",240
"110042","1",240
"110043","1",240
"110044","1",240
"110045","1",240
"110046","1",240
"110047","1",238
"110048","1",237
"110049","1",237
"110050","1",237
"110051","1",237
"110052","1",232
"110053","1",232
"110054","1",232
"110055","1",232
"110056","1",230
"110057","3",230
"110058","3",230
"110059","3",230
"110060","1",230
"110061","1",230
"110062","1",230
"110063","1",230
"110064","1",230
"110065","1",230
"110066","1",230
"110166","1",15
"110167","1",139
"110168","1",15
"110169","1",15
"110170","1",15
"110171","1",15
"110172","1",15
"110173","1",139
"110174","1",139
"110175","1",65
"110176","1",65
"110177","1",139
"110178","1",139
"110188","3",139
"110189","3",139
"110190","3",139
"110191","3",139
"110192","3",139
"110193","3",139
"110194","3",139
"110195","3",139
"110196","3",139
"110197","3",139
"110198","3",139
"110199","3",139
"110200","3",139
"110201","3",139
"110202","3",139
"110203","3",139
"110204","3",139
"110205","3",139
"110206","3",139
"110207","3",139
"110208","3",139
"110209","3",139
"110210","3",139
"110211","3",139
"110212","3",139
"110213","2",276
"110214","2",276
"110215","2",275
"110216","2",275
"110217","2",275
"110218","2",275
"110219","2",270
"110220","2",270
"110221","2",269
"110222","2",269
"110223","2",268
"110224","2",268
"110225","4",266
"110226","2",265
"110227","2",265
"110228","4",264
"110229","2",263
"110230","2",263
"110231","2",263
"110232","2",263
"110233","2",263
"110234","2",263
"110235","2",263
"110236","2",263
"110237","2",263
"110238","2",260
"110239","2",259
"110240","2",259
"110241","2",258
"110242","2",258
"110243","4",258
"110244","2",257
"110245","2",257
"110246","2",257
"110247","2",257
"110248","2",257
"110249","2",257
"110250","2",256
"110255","2",255
"110256","2",255
"110257","2",255
"110258","2",255
"110259","2",255
"110260","2",255
"110261","2",254
"110262","2",254
"110263","2",254
"110264","2",254
"110265","2",253
"110266","1",105
"110267","3",95
"110268","1",85
"110269","1",20
"110270","1",20
"110271","1",20
"110272","1",20
"110273","1",70
"110274","1",52
"110275","1",50
"110276","1",139
"110277","1",139
"110278","1",30
"110279","1",25
"110280","1",137
"110281","1",130
"110282","1",135
"110283","1",100
"110284","1",208
"110285","1",153
"110286","1",135
"110287","1",155
"110288","1",138
"110289","3",120
"110290","1",20
"110291","1",1
"110292","3",159
"110293","1",23
"110294","1",198
"110295","3",205
"110296","3",103
"110297","1",135
"110298","1",135
"110299","1",130
"110301","1",200
"110302","1",1
"110303","1",1
"110304","1",1
"110305","1",130
"110306","3",160
"110307","3",160
"110308","3",160
"110309","1",130
"110310","1",120
"110311","1",120
"110312","1",10
"110313","1",1
"110314","1",1
"110315","1",65
"110316","1",65
"110317","1",40
"110318","3",217
"110319","3",160
"110320","3",160
"110321","3",150
"110322","3",130
"110323","3",123
"110324","3",123
"110325","3",123
"110326","1",40
"110327","1",10
"110328","1",3
"110329","1",40
"110330","1",1
"110331","1",80
"110332","3",217
"110333","3",207
"110334","3",170
"110335","3",167
"110336","3",65
"110337","3",65
"110338","1",125
"110339","2",45
"110340","1",80
"110341","1",66
"110342","1",68
"110343","1",1
"110344","1",1
"110345","1",1
"110346","1",1
"110347","1",60
"110348","1",70
"110349","1",3
"110350","1",3
"110351","1",2
"110352","1",7
"110353","1",139
"110354","1",139
"110355","1",139
"110357","1",105
"110358","1",30
"110359","1",3
"110360","1",2
"110361","1",35
"110362","1",35
"110363","1",1
"110364","1",1
"110365","1",1
"110366","1",230
"110367","1",230
"110368","1",230
"110369","1",230
"110370","1",222
"110371","1",222
"110372","1",220
"110373","1",220
"110374","1",220
"110375","1",220
"110376","1",220
"110377","1",217
"110378","1",215
"110379","1",215
"110380","1",212
"110381","1",212
"110382","1",210
"110383","2",210
"110384","2",210
"110385","2",210
"110386","1",210
"110387","1",206
"110388","2",206
"110389","2",206
"110390","2",206
"110391","1",205
"110392","1",204
"110393","2",200
"110394","2",200
"110395","2",200
"110396","1",200
"110397","1",200
"110398","1",200
"110399","1",200
"110400","1",200
"110401","1",200
"110402","1",175
"110403","1",150
"110404","1",150
"110405","1",150
"110406","1",150
"110407","1",150
"110408","1",150
"110409","1",150
"110410","1",149
"110411","1",149
"110412","1",149
"110413","1",145
"110414","1",145
"110415","1",145
"110437","3",139
"110438","3",139
"110439","3",139
"110440","1",139
"110441","1",139
"110442","3",139
"110443","3",139
"110444","3",139
"110445","3",139
"110446","1",139
"110447","1",139
"110448","1",139
"110449","1",139
"110450","1",139
"110451","1",139
"110452","3",139
"110453","3",139
"110454","3",139
"110455","1",139
"110456","3",139
"110457","3",139
"110458","3",139
"110459","1",139
"110460","1",139
"110461","1",139
"110462","4",139
"110463","1",215
"110464","1",215
"110465","1",215
"110566","2",252
"110567","2",252
"110568","2",252
"110569","2",252
"110570","2",252
"110571","2",250
"110572","2",250
"110573","2",250
"110574","2",250
"110575","2",250
"110576","2",250
"110577","2",250
"110578","2",250
"110579","2",250
"110580","2",250
"110581","2",248
"110582","2",248
"110583","2",247
"110584","2",247
"110585","2",247
"110586","2",247
"110587","2",246
"110588","2",245
"110589","2",245
"110590","2",245
"110591","2",245
"110592","2",245
"110593","2",243
"110594","2",243
"110595","2",243
"110596","2",243
"110597","2",242
"110598","2",242
"110599","2",242
"110600","2",242
"110601","2",242
"110602","2",242
"110603","2",242
"110604","2",242
"110605","2",242
"110610","2",240
"110612","2",240
"110613","2",240
"110614","2",239
"110615","2",239
"110616","2",236
"110617","2",236
"110618","1",233
"110619","1",219
"110620","1",219
"110621","1",215
"110622","1",215
"110623","1",214
"110625","1",210
"110626","1",210
"110627","1",210
"110628","1",210
"110629","1",210
"110630","1",210
"110647","1",139
"110648","1",139
"110650","1",139
"110651","1",139
"110652","1",139
"110653","1",139
"110654","1",139
"110655","1",139
"110656","1",139
"110658","1",139
"110659","1",139
"110660","1",139
"110661","1",139
"110662","1",139
"110663","1",139
"110664","1",139
"110665","1",139
"110666","1",90
"110667","2",90
"110668","1",20
"110669","1",1
"110670","3",291
"110671","3",236
"110672","1",228
"110673","3",220
"110674","1",220
"110675","1",120
"110676","1",120
"110677","1",88
"110681","1",230
"110682","1",230
"110683","1",230
"110684","1",230
"110685","3",230
"110686","1",227
"110687","1",227
"110688","1",227
"110689","1",227
"110690","1",225
"110691","1",225
"110692","1",225
"110693","1",225
"110694","1",225
"110695","1",225
"110696","1",225
"110697","1",225
"110698","1",223
"110699","1",220
"110700","1",220
"110701","1",220
"110702","1",220
"110703","1",220
"110704","1",220
"110705","1",220
"110706","1",220
"110707","1",220
"110708","1",220
"110709","1",220
"110710","1",220
"110711","1",220
"110712","1",220
"110713","1",220
"110714","1",220
"110715","1",220
"110716","1",215
"110717","1",215
"110718","1",215
"110719","1",215
"110720","1",215
"110721","1",215
"110722","1",215
"110723","1",215
"110724","1",215
"110725","1",214
"110726","1",214
"110727","1",214
"110728","1",214
"110729","1",213
"110730","1",213
"110731","1",213
"110732","1",213
"110733","1",213
"110734","1",213
"110735","1",213
"110736","1",213
"110737","1",210
"110738","1",210
"110739","1",210
"110740","1",210
"110741","1",210
"110742","1",210
"110743","1",210
"110744","1",210
"110745","1",210
"110746","1",210
"110747","1",210
"110748","3",210
"110749","1",206
"110750","3",200
"110751","3",200
"110752","3",200
"110753","1",195
"110754","1",195
"110755","1",195
"110756","1",195
"110757","1",139
"110758","1",139
"110759","1",290
"110760","1",283
"110761","1",275
"110762","1",260
"110763","1",260
"110764","1",250
"110765","1",245
"110766","1",215
"110767","1",190
"110768","1",190
"110769","1",80
"110770","1",80
"110771","1",120
"110772","1",120
"110773","1",115
"110774","1",115
"110775","1",115
"110776","1",113
"110777","1",113
"110778","1",110
"110779","1",110
"110780","1",108
"110781","1",108
"110782","1",108
"110783","1",104
"110784","1",104
"110785","1",104
"110786","1",104
"110787","1",104
"110788","1",100
"110789","1",100
"110790","1",94
"110791","1",94
"110792","1",93
"110793","1",93
"110794","1",90
"110795","1",90
"110796","1",82
"110797","1",82
"110798","1",30
"110799","1",30
"110800","1",12
"110801","1",11
"110802","1",3
"110803","1",139
"110804","1",139
"110805","1",200
"110806","1",200
"110807","1",200
"110808","1",200
"110809","1",200
"110810","1",200
"110811","1",190
"110812","1",190
"110813","1",190
"110814","1",180
"110815","1",180
"110816","1",180
"110817","1",105
"110818","1",105
"110819","1",102
"110820","1",102
"110821","1",102
"110822","1",100
"110823","1",100
"110824","1",96
"110825","1",96
"110826","1",95
"110827","1",95
"110828","1",139
"110829","1",139
"110830","1",139
"110831","1",139
"110832","1",139
"110836","1",2
"110837","3",117
"110838","1",1
"110839","1",99
"110840","1",83
"110841","1",30
"110842","1",2
"110843","1",2
"110844","1",1
"110845","1",1
"110846","1",1
"110848","2",1
"110849","1",87
"110850","1",80
"110851","1",95
"110852","1",160
"110853","1",93
"110854","1",165
"110855","1",78
"110856","1",170
"110857","1",14
"110858","1",70
"110859","1",155
"110860","2",98
"110862","1",30
"110863","1",60
"110864","1",35
"110865","1",139
"110959","1",139
"110960","1",139
"110961","1",139
"110962","1",139
"110963","1",139
"110967","1",80
"110968","1",80
"110969","1",75
"110970","1",75
"110971","1",45
"110972","1",45
"110973","2",139
"110974","2",139
"110975","1",139
"110976","1",139
"110977","2",97
"110978","2",97
"110979","2",139
"110980","2",139
"110981","3",139
"110982","3",139
"110983","3",139
"110984","3",139
"110985","3",139
"110986","3",139
"110987","1",52
"110988","1",61
"110989","1",52
"110990","3",30
"110991","1",52
"110992","1",1
"110993","1",1
"110994","1",1
"110995","1",263
"110996","1",250
"110997","4",250
"110998","1",243
"110999","4",243
"111000","1",175
"111001","1",140
"111002","1",1
"111003","1",1
"111004","1",1
"111005","1",1
"111006","1",1
"111007","1",18
"111008","1",10
"111009","1",1
"111010","1",1
"111011","1",170
"111012","1",120
"111013","1",189
"111014","1",149
"111015","1",140
"111016","1",132
"111017","1",120
"111018","1",105
"111019","1",80
"111020","1",90
"111021","2",90
"111022","1",68
"111023","1",62
"111024","1",1
"111025","1",1
"111026","1",110
"111027","1",139
"111028","1",105
"111029","1",90
"111030","1",100
"111031","1",205
"111032","1",200
"111033","1",105
"111034","1",100
"111035","1",85
"111036","1",85
"111037","1",80
"111038","1",75
"111039","1",60
"111040","1",55
"111041","1",1
"111042","1",1
"111043","1",139
"111044","1",100
"111045","1",60
"111046","1",80
"111047","1",75
"111048","1",1
"111049","1",1
"111050","3",25
"111051","1",20
"111052","1",15
"111053","2",100
"111054","2",70
"111055","1",15
"111056","1",22
"111057","1",1
"111058","1",20
"111059","1",245
"111060","1",245
"111061","1",245
"111062","1",240
"111063","1",240
"111064","1",235
"111065","1",230
"111066","1",225
"111067","2",205
"111068","3",200
"111069","1",132
"111070","1",132
"111071","1",120
"111072","1",120
"111073","1",120
"111074","1",120
"111075","1",110
"111076","1",110
"111077","1",110
"111078","1",110
"111079","1",60
"111080","1",60
"111081","1",55
"111082","1",55
"111083","1",50
"111084","1",50
"111085","1",30
"111086","1",30
"111087","1",25
"111088","1",25
"111089","1",20
"111090","1",20
"111091","1",5
"111092","1",5
"111093","1",139
"111094","1",139
"111095","1",139
"111096","1",139
"111097","1",139
"111098","1",139
"111099","1",139
"111100","1",139
"111101","1",139
"111126","1",225
"111127","1",225
"111128","1",225
"111129","1",225
"111131","1",220
"111132","1",220
"111133","1",220
"111134","1",220
"111135","1",220
"111136","1",220
"111137","1",220
"111138","1",220
"111139","1",220
"111140","1",215
"111141","1",215
"111142","1",215
"111143","1",214
"111144","1",214
"111145","1",214
"111146","1",212
"111147","1",212
"111148","1",212
"111149","1",210
"111150","1",208
"111151","1",204
"111152","1",204
"111153","1",204
"111154","1",202
"111155","1",198
"111156","1",198
"111157","1",198
"111158","1",139
"111160","1",50
"111161","2",90
"111162","1",50
"111163","1",74
"111164","1",65
"111165","1",2
"111166","1",139
"111168","1",25
"111174","1",235
"111175","1",220
"111176","1",220
"111177","1",220
"111180","1",210
"111181","1",210
"111182","1",205
"111183","1",204
"111184","1",204
"111185","1",200
"111187","1",200
"111188","1",200
"111189","1",198
"111190","1",191
"111191","1",190
"111192","1",190
"111193","1",190
"111194","1",190
"111195","1",170
"111216","1",215
"111217","1",108
"111218","1",108
"111219","1",100
"111220","1",100
"111221","2",100
"111222","2",100
"111223","1",100
"111224","1",100
"111225","1",93
"111226","1",93
"111227","1",90
"111228","1",90
"111229","1",90
"111230","1",90
"111231","1",90
"111232","1",90
"111233","1",90
"111234","1",90
"111235","1",88
"111236","1",88
"111237","1",10
"111238","1",9
"111239","1",139
"111240","1",139
"111241","1",139
"111242","1",115
"111243","1",115
"111244","1",115
"111245","1",108
"111246","1",108
"111247","1",108
"111248","1",106
"111249","1",106
"111250","1",105
"111251","1",105
"111252","1",105
"111253","1",102
"111254","1",102
"111255","1",102
"111256","1",102
"111257","1",102
"111258","1",100
"111342","1",15
"111343","1",1
"111344","1",1
"111345","1",1
"111346","1",15
"111347","1",15
"111348","1",15
"111349","1",15
"111350","1",15
"111351","1",15
"111352","1",15
"111353","1",15
"111354","1",25
"111355","2",139
"111356","1",139
"111357","1",12
"111358","1",139
"111360","1",267
"111361","1",267
"111362","1",258
"111363","1",258
"111364","3",250
"111365","3",250
"111366","3",250
"111367","3",250
"111368","1",250
"111369","1",250
"111370","1",250
"111371","1",250
"111372","1",250
"111373","1",250
"111374","2",245
"111375","2",245
"111376","2",227
"111377","1",210
"111378","1",210
"111379","2",139
"111380","2",139
"111381","1",139
"111382","1",139
"111383","1",139
"111384","1",139
"111385","1",139
"111386","1",139
"111387","1",139
"111388","1",139
"111389","1",139
"111390","1",139
"111391","1",139
"111392","1",139
"111393","3",139
"111394","3",139
"111395","3",139
"111396","3",139
"111397","3",139
"111398","3",139
"111399","1",281
"111400","1",281
"111401","1",280
"111402","1",280
"111403","1",277
"111404","1",277
"111405","1",275
"111406","1",275
"111407","1",275
"111408","1",275
"111409","1",273
"111410","1",273
"111411","1",270
"111412","1",270
"111413","1",270
"111414","1",270
"111415","3",265
"111416","1",265
"111417","1",265
"111418","1",265
"111419","1",265
"111420","1",262
"111421","1",262
"111422","1",260
"111423","1",260
"111424","1",255
"111425","1",255
"111426","1",255
"111427","1",250
"111428","4",248
"111429","4",248
"111430","4",248
"111433","3",241
"111434","3",241
"111435","3",241
"111436","1",235
"111437","1",234
"111438","3",219
"111442","1",139
"111457","2",269
"111458","2",235
"111459","1",215
"111460","1",215
"111461","1",215
"111462","1",210
"111463","1",210
"111464","1",210
"111468","3",175
"111475","4",155
"111488","1",139
"111489","1",139
"111490","1",139
"111491","1",139
"111492","1",139
"111493","1",139
"111494","1",139
"111498","2",139
"111499","1",95
"111500","1",95
"111501","1",90
"111502","1",90
"111503","1",130
"111504","1",130
"111505","1",125
"111506","1",125
"111507","1",120
"111508","1",120
"111509","1",120
"111510","1",120
"111511","1",120
"111512","1",120
"111513","1",115
"111514","1",115
"111515","1",110
"111516","1",110
"111517","1",110
"111518","1",110
"111519","1",110
"111520","1",110
"111521","1",110
"111522","1",110
"111523","1",110
"111524","1",110
"111525","1",105
"111526","1",105
"111527","1",105
"111528","1",105
"111529","1",105
"111530","1",105
"111531","1",105
"111532","1",105
"111533","1",105
"111534","1",105
"111535","1",105
"111536","2",103
"111537","2",103
"111538","1",100
"111539","1",100
"111540","1",100
"111541","1",100
"111542","1",100
"111543","1",95
"111544","1",95
"111545","1",95
"111546","1",93
"111547","1",93
"111548","1",90
"111549","1",90
"111550","1",90
"111551","1",90
"111552","1",10
"111553","1",139
"111554","1",139
"111555","1",139
"111556","1",139
"111557","1",139
"111558","1",139
"111559","1",139
"111560","1",139
"111562","1",1
"111563","1",2
"111564","1",1
"111565","1",1
"111566","1",1
"111567","1",114
"111568","3",114
"111569","1",1
"111570","1",1
"111571","1",1
"111572","1",1
"111573","1",1
"111574","1",1
"111575","1",20
"111577","2",178
"111579","3",139
"111580","1",100
"111581","1",76
"111582","1",90
"111583","1",139
"111584","1",139
"111585","1",80
"111586","1",89
"111587","1",90
"111588","1",110
"111589","1",80
"111590","1",105
"111591","1",1
"111592","1",100
"111593","1",75
"111594","1",91
"111595","1",82
"111597","1",95
"111598","1",82
"111599","1",67
"111600","1",110
"111601","1",105
"111602","1",105
"111603","1",100
"111604","1",1
"111605","1",1
"111606","1",100
"111607","1",1
"111608","1",25
"111609","1",50
"111610","1",1
"111611","1",1
"111612","1",1
"111613","1",1
"111614","1",1
"111615","1",139
"111616","1",1
"111617","1",1
"111618","1",1
"111619","1",1
"111620","1",139
"111621","1",180
"111622","1",60
"111623","1",140
"111624","1",130
"111625","1",50
"111626","1",25
"111627","1",40
"111628","1",40
"111629","1",83
"111630","2",139
"111631","1",1
"111632","1",139
"111633","1",90
"111634","1",10
"111635","1",139
"111636","1",139
"111637","1",30
"111638","3",90
"111639","3",90
"111661","1",140
"111747","3",139
"111748","3",139
"111749","3",139
"111750","3",139
"111751","1",139
"111752","1",139
"111753","1",139
"111754","1",139
"111756","3",139
"111757","3",139
"111758","3",139
"111759","3",139
"111760","3",139
"111763","3",283
"111764","3",283
"111765","3",283
"111766","3",261
"111767","3",261
"111768","3",261
"111769","1",253
"111770","1",253
"111771","3",245
"111772","3",245
"111773","3",245
"111774","3",245
"111775","3",245
"111776","3",245
"111777","3",225
"111778","3",225
"111779","3",139
"111780","3",139
"111781","3",139
"111782","3",139
"111783","3",139
"111784","3",139
"111785","3",139
"111786","3",139
"111787","3",139
"111788","3",139
"111789","3",139
"111790","3",139
"111791","3",139
"111792","3",139
"111793","3",139
"111794","3",139
"111795","3",139
"111796","3",139
"111797","3",139
"111798","3",139
"111800","3",139
"111801","3",139
"111802","3",139
"111803","3",139
"111804","3",139
"111805","3",139
"111806","3",139
"111807","3",139
"111808","3",139
"111809","3",139
"111810","3",139
"111811","3",139
"111812","3",139
"111813","3",139
"111814","3",139
"111815","3",139
"111816","3",139
"111817","3",139
"111818","3",139
"111820","1",290
"111821","1",290
"111822","3",285
"111823","3",285
"111824","1",282
"111825","1",282
"111826","2",280
"111827","2",280
"111828","3",280
"111829","3",280
"111830","3",280
"111831","3",280
"111832","1",278
"111833","1",278
"111834","3",278
"111835","3",278
"111836","2",276
"111837","2",276
"111838","3",275
"111839","3",275
"111840","3",275
"111841","1",100
"111842","1",100
"111843","1",100
"111844","1",100
"111845","1",100
"111846","1",100
"111847","1",100
"111848","1",100
"111849","1",100
"111850","1",100
"111851","1",100
"111852","1",100
"111853","1",100
"111854","1",100
"111855","1",100
"111856","1",100
"111857","1",100
"111858","1",95
"111859","1",95
"111860","1",95
"111861","1",95
"111862","1",95
"111863","1",95
"111864","1",90
"111865","1",90
"111866","1",90
"111867","1",90
"111868","1",90
"111869","1",90
"111870","1",90
"111871","1",90
"111872","1",90
"111873","1",90
"111874","1",90
"111875","1",90
"111876","1",90
"111877","1",90
"111878","1",90
"111879","1",90
"111880","1",90
"111881","1",90
"111882","1",85
"111883","1",85
"111884","1",85
"111885","1",80
"111886","1",80
"111887","1",80
"111888","1",80
"111889","1",75
"111890","1",75
"111891","1",70
"111892","1",70
"111893","1",70
"111894","1",70
"111895","1",70
"111896","1",70
"111897","1",70
"111898","1",70
"111899","1",70
"111900","1",70
"111901","1",60
"111902","1",60
"111903","1",60
"111904","1",60
"111905","1",60
"111906","1",60
"111907","1",60
"111908","1",60
"111909","1",60
"111910","1",60
"111911","1",60
"111912","1",60
"111913","1",55
"111914","1",55
"111915","1",55
"111916","1",55
"111917","1",55
"111918","1",55
"111919","1",55
"111920","1",55
"111921","1",53
"111922","1",53
"111923","1",50
"111924","1",50
"111925","1",50
"111926","1",50
"111927","1",50
"111928","1",50
"111929","1",50
"111930","1",50
"111931","1",50
"111932","1",50
"111933","1",50
"111934","1",50
"111935","1",50
"111936","1",50
"111937","1",50
"111938","1",50
"111939","1",50
"111940","1",50
"111943","4",139
"111944","4",139
"111945","4",139
"111946","1",270
"111947","1",270
"111948","1",259
"111949","1",256
"111950","1",255
"111951","1",249
"111952","1",139
"111953","2",139
"111954","2",139
"111955","3",139
"111956","3",139
"111957","3",139
"111958","3",139
"111959","3",139
"111960","3",139
"111961","3",139
"111962","3",139
"111963","3",139
"111964","3",139
"111965","3",139
"111966","3",139
"111967","3",139
"111968","3",139
"111969","1",274
"111970","1",270
"111971","1",260
"111972","1",259
"111973","1",258
"111975","1",248
"111976","1",248
"111977","1",248
"111978","1",248
"111979","1",243
"111980","1",238
"111981","1",237
"111982","1",236
"111983","1",233
"111984","1",228
"111985","1",227
"111986","1",227
"111987","1",227
"111988","1",227
"111989","1",227
"111990","1",226
"111991","1",226
"111992","1",225
"111993","1",225
"111994","1",220
"111995","1",220
"111996","1",220
"111997","1",219
"111998","1",219
"111999","1",219
"112000","1",218
"112001","1",218
"112002","3",218
"112003","1",215
"112004","1",210
"112005","1",210
"112006","1",210
"112007","1",210
"112008","1",205
"112009","1",200
"112010","1",200
"112011","1",200
"112012","1",200
"112013","1",200
"112014","1",200
"112015","1",200
"112016","1",200
"112017","1",200
"112018","1",200
"112019","1",200
"112020","1",197
"112021","1",196
"112022","1",196
"112023","1",196
"112024","1",196
"112025","1",196
"112026","1",196
"112027","1",195
"112028","1",195
"112029","1",195
"112030","1",195
"112031","1",195
"112032","1",195
"112033","1",194
"112034","1",193
"112035","1",190
"112036","1",190
"112037","1",190
"112131","1",139
"112138","1",190
"112139","1",185
"112140","1",185
"112141","3",275
"112142","2",274
"112143","2",274
"112144","3",271
"112145","3",271
"112146","3",271
"112147","2",271
"112148","2",271
"112149","3",271
"112150","3",271
"112151","1",270
"112152","2",270
"112153","1",270
"112154","2",270
"112155","1",270
"112156","1",270
"112157","3",270
"112158","3",270
"112159","3",270
"112160","1",270
"112161","1",270
"112162","3",270
"112163","3",270
"112164","3",270
"112165","1",269
"112166","1",269
"112167","2",268
"112168","2",268
"112169","2",267
"112170","2",267
"112171","1",267
"112172","1",267
"112173","3",266
"112174","3",266
"112175","2",265
"112176","2",265
"112177","3",262
"112178","3",262
"112179","3",262
"112180","3",262
"112181","3",261
"112182","3",261
"112183","1",260
"112184","1",260
"112187","1",260
"112188","2",260
"112189","1",260
"112190","2",260
"112191","2",255
"112192","2",255
"112193","1",253
"112194","1",253
"112195","2",252
"112196","2",252
"112197","1",251
"112198","1",251
"112199","1",250
"112200","1",250
"112201","1",250
"112202","1",250
"112203","1",250
"112204","1",250
"112205","1",248
"112206","1",248
"112207","2",247
"112208","2",247
"112209","1",247
"112210","1",247
"112211","1",245
"112212","1",245
"112213","2",242
"112214","2",242
"112215","3",242
"112216","3",242
"112217","3",242
"112218","1",240
"112219","1",240
"112220","1",240
"112221","1",240
"112222","1",240
"112223","1",240
"112224","1",239
"112225","1",239
"112226","1",235
"112227","1",233
"112228","3",232
"112229","3",232
"112230","3",229
"112231","3",229
"112232","3",229
"112233","1",226
"112234","1",225
"112235","1",220
"112236","1",220
"112237","1",220
"112238","1",220
"112239","1",220
"112240","1",220
"112241","1",50
"112242","1",50
"112243","1",50
"112244","1",50
"112245","1",50
"112246","1",50
"112247","1",50
"112248","1",50
"112249","1",50
"112250","1",50
"112251","1",50
"112252","1",50
"112253","1",50
"112254","1",50
"112255","1",50
"112256","1",50
"112257","1",50
"112258","1",50
"112259","1",50
"112260","1",45
"112261","1",45
"112262","1",45
"112263","1",45
"112264","1",40
"112265","1",40
"112266","1",40
"112267","1",40
"112268","1",40
"112269","1",40
"112270","1",40
"112271","1",40
"112272","1",40
"112273","1",40
"112274","1",40
"112275","1",40
"112276","1",40
"112277","1",40
"112278","1",40
"112279","1",40
"112280","1",40
"112281","1",40
"112282","1",35
"112283","1",35
"112284","1",35
"112285","1",30
"112286","1",30
"112287","1",25
"112288","1",25
"112289","1",25
"112290","1",25
"112291","1",25
"112292","1",25
"112293","1",25
"112294","1",20
"112295","1",20
"112296","1",20
"112297","1",20
"112298","1",15
"112299","1",15
"112300","1",15
"112301","1",15
"112302","1",11
"112303","1",11
"112304","1",11
"112305","1",10
"112306","1",10
"112307","1",10
"112308","1",10
"112309","1",10
"112310","1",10
"112311","1",10
"112312","1",10
"112313","1",10
"112314","1",10
"112315","1",9
"112316","1",9
"112317","1",9
"112318","1",8
"112319","1",8
"112320","1",8
"112321","1",8
"112322","1",7
"112323","1",6
"112324","1",5
"112325","1",5
"112326","1",5
"112327","1",5
"112328","1",5
"112329","1",5
"112330","1",5
"112331","1",5
"112332","1",5
"112333","1",4
"112334","1",3
"112335","1",139
"112336","1",139
"112337","1",139
"112338","1",139
"112339","1",139
"112340","1",139
"112441","1",183
"112442","1",181
"112443","1",172
"112444","1",158
"112445","1",158
"112446","1",158
"112447","1",157
"112448","1",157
"112449","1",157
"112450","1",155
"112451","1",155
"112452","1",155
"112453","1",153
"112454","1",153
"112455","1",153
"112456","1",150
"112457","1",150
"112458","1",150
"112459","1",150
"112460","1",150
"112461","1",150
"112462","1",150
"112463","1",150
"112464","1",150
"112465","1",148
"112466","1",148
"112467","1",148
"112468","1",146
"112469","1",146
"112470","1",146
"112511","1",139
"112520","3",139
"112522","4",139
"112523","4",139
"112524","4",139
"112525","1",139
"112526","1",139
"112527","1",139
"112528","1",139
"112529","1",139
"112530","1",139
"112536","3",139
"112537","3",139
"112538","3",139
"112539","3",139
"112540","3",139
"112541","1",219
"112542","1",219
"112543","1",219
"112544","1",216
"112545","3",210
"112589","4",139
"112590","1",139
"112591","1",139
"112592","1",139
"112593","1",139
"112594","1",139
"112595","1",139
"112601","1",139
"112602","1",139
"112603","1",139
"112604","1",139
"112605","1",139
"112606","1",139
"112607","1",139
"112608","1",139
"112609","1",139
"112610","1",139
"112611","1",139
"112612","1",139
"112613","3",139
"112616","3",139
"112617","3",139
"112618","3",139
"112619","3",139
"112620","3",139
"112621","3",139
"112622","3",139
"112623","3",139
"112624","3",139
"112625","3",139
"112626","1",110
"112627","1",110
"112628","1",40
"112629","1",40
"112630","1",100
"112631","1",100
"112632","3",139
"112633","3",139
"112634","3",139
"112635","1",28
"112636","1",44
"112637","1",20
"112638","1",20
"112639","1",90
"112640","1",62
"112641","1",139
"112642","1",139
"112643","1",139
"112644","1",139
"112645","1",139
"112646","1",139
"112647","1",139
"112648","1",139
"112649","1",139
"112650","1",139
"112651","1",139
"112652","1",139
"112653","1",139
"112654","1",139
"112655","1",139
"112656","1",139
"112657","1",120
"112658","1",120
"112659","1",50
"112660","1",50
"112661","1",50
"112662","1",50
"112663","1",115
"112664","1",115
"112665","1",110
"112666","1",110
"112667","2",110
"112668","2",110
"112669","1",110
"112670","1",110
"112671","1",110
"112672","1",110
"112673","1",100
"112674","1",100
"112675","1",100
"112676","1",100
"112677","1",100
"112678","1",100
"112679","1",90
"112680","1",90
"112681","1",85
"112682","1",85
"112683","1",85
"112684","1",80
"112685","1",80
"112686","1",80
"112687","1",75
"112688","1",75
"112689","1",75
"112690","1",75
"112691","1",70
"112692","1",70
"112693","1",70
"112694","1",70
"112695","1",70
"112696","1",70
"112697","1",70
"112698","1",70
"112699","1",70
"112700","1",70
"112701","1",65
"112702","1",65
"112703","1",60
"112704","1",60
"112705","1",60
"112706","1",60
"112707","1",55
"112708","1",55
